,ID,FULL TEXT,CREATED AT,LABEL
9,1.41E+18,"ඉන්දියාව සමග ක්‍රිකට් තරගයට ක්‍රීඩා කිරීමට සිටි ශ්‍රී ලංකා ජෛව තාක්ෂණික බුබුලේ සිටි සඳුන් වීරක්කොඩි හට කොරෝනා ආසාදනය වී තිබෙනවා.

ඔහු සඳහන් කලේ මේ වනවිට ඔහු කණ්ඩායමෙන් වෙන්ව තැබීමට බලධාරීන් ක්‍රියාකර ඇති බවයි.

https://t.co/41m6m7x6VQ https://t.co/feoBvBNFqQ",7/10/2021 10:04,Sport
,,,,
10,1.41E+18,"ඉන්දියාව සමග ක්‍රිකට් තරගයට ක්‍රීඩා කිරීමට සිටි ශ්‍රී ලංකා සංචිතයේ ක්‍රීඩකයෙකුට කොරෝනා

Like us - https://t.co/itJA0rs7MI https://t.co/FdBOYOmaqI",7/10/2021 7:32,Sport
,,,,
0,1.42E+18,#කබඩි ක්‍රීඩාවේ අභිවෘද්ධිය වෙනුවෙන් ක්‍රීඩා අමාත්‍යංශය සිය 08 වන ඉහළ කාර්ය සාධන ගිවිසුම අමාත්‍ය@RajapaksaNamal මහතාගේ ප්‍රධානත්වයෙන් ශ්‍රී ලංකා #කබඩි සම්මේලනය සමගින් අද (14) දින ක්‍රීඩා සංවර්ධන දෙපාර්තමේන්තුවේ ගෘහස්ත ක්‍රීඩාගාරයේ දී අත්සන් තැබුනා. #ජයගමු @MCND_LKA @MoYS_SriLanka https://t.co/1aDADRGhko,7/14/2021 11:14,Politics
,,,,
1,1.42E+18,@newsi_lk: ජාත්‍යන්තර කබඩි තරඟාවලි පවත්වන මධ්‍යස්ථානයක් බවට ශ්‍රී ලංකාව පත් කරනවා – ක්‍රීඩා ඇමති https://t.co,7/14/2021 10:45,Sport
,,,,
2,1.42E+18,ක්‍රීඩා සංගමයක හා සම්මේලන 4ක ලියාපදිංචිය තාවකාලිකව අත්හිටුවයි https://t.co/r42zzZTPrp,7/14/2021 8:42,Sport
,,,,
3,1.42E+18,"ක්‍රීඩා සංගම් හා සම්මේලන 05 ක ලියාපදිංචිය අත්හිටුවයි - https://t.co/zRu4o6OysA 
#SriLanka #Lka #UTVNews",7/14/2021 7:31,Sport
,,,,
4,1.42E+18,"ක්‍රීඩා සංගම් හා සම්මේලන 05 ක ලියාපදිංචිය අත්හිටුවයි https://t.co/uLfV1ydT9n 
#SriLanka #Lka #FastNews",7/14/2021 7:28,Sport
,,,,
5,1.42E+18,"ක්‍රීඩා සංගමයක සහ සම්මේලන 4 ක ලියාපදිංචිය තාවකාලිකව අත්හිටුවීමට ක්‍රීඩා අමාත්‍ය වරයා ගැසට් නිවේදනයක් නිකුත් කර ඇත.
#Cricsl https://t.co/HxSwX1y6PF",7/14/2021 7:27,Sport
,,,,
6,1.42E+18,ක්‍රීඩා සංගම් හා සම්මේලන 5 ක ලියාපදිංචිය තාවකාලිකව අත්හිටුවයි https://t.co/6KaBEU9G5E | #SiyathaFM #SriLanka,7/14/2021 7:23,Sport
,,,,
7,1.42E+18,"ක්‍රීඩා සංගමයක හා සම්මේලන 04ක ලියාපදිංචිය අත්හිටුවමින් අතිවිශේෂ ගැසට් නිවේදනයක්
https://t.co/0fNRJKzo1h",7/14/2021 7:11,Sport
,,,,
8,1.42E+18,"ජනාධිපති ගෝඨාභය රාජපක්ෂ මහතා අද ශ්‍රී ලංකා ක්‍රිකට් ප්‍රධානීන් හමුවීමට නියමිතය.

මෙම සාකච්ඡාවට ක්‍රිකට් කමිටුවේ සහභාගිත්වය ලැබෙන බවද ක්‍රීඩා අමාත්‍ය නාමල් රාජපක්ෂ මහතා පැවසීය.

පාසල් මට්ටමේ සිට ජාතික මට්ටම දක්වා ක්‍රිකට් ක්‍රීඩාව දියුණු කිරීම සඳහා වන

https://t.co/8TbgNWllM0 https://t.co/GyFASkSRmA",7/14/2021 7:04,Politics
,,,,
9,1.42E+18,@newsi_lk: ක්‍රීඩා සංගම් 1ක හා සම්මේලන 4 ක ලියාපදිංචිය අත්හිටුවමින් අතිවිශේෂ ගැසට් නිවේදනයක් https://t.co/P7yJzfTvTh,7/14/2021 6:40,Politics
,,,,
10,1.42E+18,ක්‍රීඩා සංගම් හා සම්මේලන 5 ක ලියාපදිංචිය තාවකාලිකව අත්හිටුවයි https://t.co/NaqAWo8jKw || #SiyathaNewsLive #SriLanka #අද,7/14/2021 6:23,Sport
,,,,
11,1.41E+18,ආණ්ඩුවේ කිසිම බෙදීමක් නැහැ -ක්‍රීඩා ඇමති නාමල් රාජපක්ෂ Published On Negombo Today - https://t.co/xtLnJ9I1kv https://t.co/TVK3LVCHGg,7/13/2021 15:18,Politics
,,,,
0,1.41E+18,@AmIsoSweet ඒක අපෙ විනෝදාස්වාදය වෙන්නත් පුළුවන් 🙃 එතකොට අපිට හඩ නගන්න එකෙක් නෑ,7/11/2021 11:40,Entertainment
,,,,
0,1.42E+18,සම්මානනීය චිත්‍රපට අධ්‍යක්ෂිකා කලා කීර්ති සුමිත්‍රා පීරිස් මහත්මිය තරුණ අවධියේ. ඇය 1978දී ගැහැණු ළමයි චිත්‍රපටය අධ්‍යක්ෂණය කරමින් සිනමා අධ්‍යක්ෂණයට පිවිසි අතර එම වසරේ ලන්ඩන් සිනමා උළලේ හොඳම චිත්‍රපටය ලෙස එය නම් විය. ඇය 1963දී ගම්පෙරළිය චිත්‍රපටයේ සංස්කාරකවරිය ලෙසද කටයුතු කලාය. https://t.co/dvgu7SARBM,7/14/2021 6:44,Entertainment
,,,,
1,1.41E+18,Black Widow (2021) චිත්‍රපටය ඇත්තටම Failed ද? #BlackWidow #SaagarayaBlog #Sinhala බ්ලැක් විඩෝ එහෙම නැත්නම් අපි කවුරුත් හදුනන නටාෂා රොමනෝෆ් ගේ අතීතය නැවත ඇය සමග ගැටීමෙන් සැගවී තිබූ රහස් කීපයක් හෙලිදරව් වේ. ඇගේ ජිවිතයට තර්ජනයක් එල්ල කරන මේ රහස් මොනවාද? https://t.co/cIzu1i0J37 https://t.co/4e4aoamHre,7/10/2021 15:38,Entertainment
,,,,
2,1.41E+18,"ඔබ වෙනුවෙන් පිදෙන අපගේ දෙවන කෙටි චිත්‍රපටය වන,""සංඛාරා"" නුදුරේදී ම නරබන්න ඔබත් සූදානම් වන්න 

https://t.co/aqgiHJ6CKv https://t.co/KzmRm8lm3W",7/8/2021 18:12,Entertainment
,,,,
0,1.42E+18,දේශපාලන වගකීම සහ පුරවැසි වගකීම #AKD https://t.co/Vzg36hbbRC,7/14/2021 11:38,Other
,,,,
1,1.42E+18,දේශපාලන සිරකරුවන් නිදහස් කිරීම ඇතුළු ඉල්ලීම් කිහිපයක් මුල් කරගනිමින් සති අන්තයේ යාපනයේදී පැවැත්වු විරෝධතාවයකටත් පොලිස් බාධා @HRCSriLanka #lka #protest #jaffna #politicalprisoners #copvid19 https://t.co/ln8BsaCA31,7/14/2021 10:42,Other
,,,,
2,1.42E+18,"සුනන්ද දේශප්‍රියගේ පරම්පරාවේ ගොඩක් අය පිටරට ගිහින් අපේ රට ගැන කයිවාරැ ගහන්නේ මේ රටේ ඉන්නකම් දේශපාලන වහල්කම් කරලා දේශපාලන ගැටුම් හදාගෙන පුද්ගලික අැරියස් නිසා බවවත් අඩුගානේ මේ මිනිස්සු දන්නවනම්.
#lka #SriLanka",7/14/2021 10:35,Other
,,,,
3,1.42E+18,@akhilasg අනික් පැති වලත් ඔහොම තමයි .... ඉවසල ඉන්න ඕනි ... දේශපාලන හයියක් හරි ... නිලධාරී හයියක් හරි නැතිනම්,7/14/2021 9:59,Other
,,,,
4,1.42E+18,"@nandanamihindu ලංකාවේ ඉන්න තමයි ආස .. මොකද දේශපාලන රිලා නැටුම් ටිකක් බලලා , අනාගතයේ දී හාමතේ මැරිලා යන්න..",7/14/2021 9:35,Other
,,,,
5,1.42E+18,"@thegallerybitch අහ් පාරම්පරික දේශපාලන පවුලක්, අර මං කිව්ව එක වෙන්නත් බෑ එහෙනම්.",7/14/2021 9:10,Other
,,,,
6,1.42E+18,@thegallerybitch අර තාත්තගේ වයසටත් වඩා දේශපාලන අත්දැකීම් බහුල පුතෙක් ඉන්න පවුල නේද?,7/14/2021 8:55,Other
,,,,
7,1.42E+18,@IamIsPra පාරම්පරික දේශපාලන පවුලක් මතක්වෙනවා ඔහොම විශේෂ අවස්ථාවකි බාල වයස්කාර කෙල්ලක් ගේට ගත්ත,7/14/2021 8:47,Other
,,,,
8,1.42E+18,"@RuchiraHerath @nandanamihindu ලංකාවේ ඉදන් ගොඩ යන්න බැරිනම් වෙන රටකදි කොහොමවත් බෑ. 
ලංකාවේ එකම ප්‍රශ්නය දේශපාලනය. දේ",7/14/2021 7:44,Other
,,,,
9,1.42E+18,"#පැටිකිරිය
ඛල්ලෙක් ගන්න ගියත් පැටිකිරිය (Pedigree ) බලන රටක, නායකයෙක් තෝරන්නත් පැටිකිරිය ටිකක් හොයලා බලමුද?
මෙන්න මහ උස සිංහලයා ලෙස පෙනී සිටිමින් රට ජාතිය නම් සළුපිළි වලින් විලි වසා ගනිමින් පාච. රණවකගේ දේශපාලන මග---&gt; https://t.co/dVQHAgLWeQ
#lka #SriLanka @ApiWenuwen @ReflectMind https://t.co/3luKuBzKf8",7/14/2021 6:27,Other
,,,,
10,1.42E+18,"දවස් 225 මන්ත්‍රී වරු 225 දෙන ගෙන සොයා බලමු #ministerslk  hastag තුළින් ඔබත් අදහස් කියන්න 
මන්ත්‍රී තුමාගේ අධ්‍යාපන  සුදුසුකම් පසු විපරම් සියලුදේ  කියන්න හෝරා ද චණ්ඩියක් නෝන්ඩික් ද දේශපාලන ආරම්භය වත්කම  හැමදෙයක්ම ලියන්න  අද අපි පටන්ගන්නේ සංජීව එදිරිමාන්න #lka #SriLanka https://t.co/3fLwqpMgip",7/14/2021 5:20,Other
,,,,
11,1.42E+18,"දවස් 225 මන්ත්‍රී වරු 225 දෙන ගෙන සොයා බලමු #ministerslk  hastag තුළින් ඔබත් අදහස් කියන්න 
මන්ත්‍රී තුමාගේ අධ්‍යාපන  සුදුසුකම් පසු විපරම් සියලුදේ  කියන්න හෝරා ද චණ්ඩියක් නෝන්ඩික් ද දේශපාලන ආරම්භය වත්කම  හැමදෙයක්ම ලියන්න  අද අපි පටන්ගන්නේ සංජීව එදිරිමාන්න #lka #SriLanka https://t.co/DR1DHjLz5Y",7/14/2021 4:53,Other
,,,,
12,1.42E+18,"ගිණිගත් නැවේ දත්ත මැකෙයි - Hiru News
මේ තරම් කුමන්ත්‍රණ සිදු වෙනකොට ඒවා මේ රටේ මිනිස්සු හෝ මාද්‍ය විස්වාස කරන්න තරම් හරකුන්ද ? දේශපාලකයෝ ජනතාව හරකුන් යයි සිතා සිටීමේ ප්‍රතිපල තමයි අවසාන පක්ෂ දේශපාලන පරාජය #srilanka @Neetwit @GotabayaR https://t.co/qAveyXWkxo",7/14/2021 2:03,Other
,,,,
13,1.42E+18,"@Indikaliyan78 ලංකාවේ බහුතරයක් දේශපාලන හාමුදුරුවෝ අවංකද? සීල්වත්ද? 
සමහර දේශපාලන හාමුදුරුවෝ බණ කියන්න මු",7/14/2021 1:02,Other
,,,,
14,1.42E+18,"ලංකාවේ බහුතරයක් දේශපාලන හාමුදුරුවෝ අවංකද? සීල්වත්ද? 
සමහර දේශපාලන හාමුදුරුවෝ බණ කියන්න මුදල් අය කරනවා නේද?

ඔය සීල් රෙදි පොරවාගෙන කතා කරන අය බහුතරයක්  කරන්න තියෙන පව් ඔක්කොම කරන තිරිසන්නු විය නොහැකිද?

#පක්ෂවහලුන් තමන්ගේ  අය ශුද්ධ කරනවා නේද?

ගිනි  නොමැතිව දුම් තිබේද? https://t.co/ZeHcTp3HHt",7/14/2021 1:02,Other
,,,,
15,1.41E+18,"@MaheshNegombo මම් නම් ඔය සීන් එක දන්නේ නැ.. මොනවා උනත් මුරලි කියන්නෙ දේශපාලන වහලෙක්. 
එයා දැන් සංගා,මහේල වග?",7/13/2021 16:36,Other
,,,,
16,1.41E+18,"පුරවැසි දේශපාලන අයිතිය සහ යුතුකම් විවෘත සංවාදය - මහින්ද දේශප්‍රිය , හිටපු කොමසාරිස් සහ සභාපති ,මැතිවරණ කොමිසමේ.
https://t.co/X7ADig2VqP",7/13/2021 15:34,Politics
,,,,
17,1.41E+18,සියලුම රාජ්‍ය සේවකයන්ට එරෙහි දේශපාලන පළිගැනීමට තිත තියන්න අගමැති පෙරමුණ ගනියි - Read More &gt;&gt;&gt; https://t.co/phL2EvnjY8 #LKA #SriLanka https://t.co/MxYvQpn3Vv,7/13/2021 13:06,Politics
,,,,
18,1.41E+18,@UPGammanpila ශ්‍රී ලංකාව බොරතෙල් සහ ගෑස් නිෂ්පාදනය කරන රටක් බවට පත් කරන්නට ඔබතුමා ගෙන යනු ලබන අසමසම උත්ස,7/13/2021 12:50,Politics
,,,,
19,1.41E+18,@UPGammanpila ශ්‍රී ලංකාව බොරතෙල් සහ ගෑස් නිෂ්පාදනය කරන රටක් බවට පත් කරන්නට ඔබතුමා ගෙන යනු ලබන අසමසම උත්ස,7/13/2021 12:36,Politics
,,,,
20,1.41E+18,@newsi_lk: දේශපාලන පළිගැනීම්වලට ලක්වූ රාජ්‍ය හා අර්ධ රාජ්‍ය සේවකයන්ට සහන සැලසීමට නීති කෙටුම්පත් කරන්?,7/13/2021 11:53,Politics
,,,,
21,1.41E+18,"@UdithaErandaIS @Maduruwaonline දැන් ඕකම තියනවා 1985 ලක්ෂ 14ට වැඩී, දේශපාලන විරුවෝ රට කරවපු වෙනස 🥴😂",7/13/2021 4:40,Other
,,,,
22,1.41E+18,@UPGammanpila පිටට පේන දෙයට වඩා ඇතුලතින් සිදුවන දේශපාලන විපර්යාස ගැන ජනතාව දැන් අවදියෙන්...ජය වේවා ඇමතිතු,7/13/2021 1:25,Other
,,,,
23,1.41E+18,"@SriSlpmd @SriLankaPolice2 පොලීසියේ රාජකාරි කොරන ගමන් දේශපාලන වැඩ කොරන්ට පුලිවන්ද මෙයාලා 

#ජයගමු  #lka #lk #srilanka #slnews #LPL #LPL20",7/12/2021 20:30,Other
,,,,
24,1.41E+18,"@Sanjivakkuk @Cheesequeen324 මම හිතන්නේ වැරදීමක් වෙලා තියෙනවා , ඒ කොටස ඒ අයගේ online තියෙන එකේ ඉන්දුනීසියාව ගැන කියපු ක?",7/12/2021 19:28,Other
,,,,
25,1.41E+18,"@anuradisanayake රතු ඉර කෙලින් සාකච්ඡාව: මෙහිදී ඔබ පැවසූ සමාජ, ආර්ථික, සහ දේශපාලන පරිවර්තන පිළිබදව කරුණු, වි?",7/12/2021 17:47,Politics
,,,,
26,1.41E+18,"@anuradisanayake 3/3 ජ.වි.පෙ ජාතිවාදය බැහැර කළ ද, ජාතිවාදය, කැළණියේ නයි මතුවීම, සහ දියසෙන් කුමරුගේ ආගමනය වැනි ස?",7/12/2021 17:34,Other
,,,,
27,1.41E+18,"දුමින්ද සිල්වා නැවතත් දේශපාලන පිටියට...! අරලිය මැදුරට ගොස් අගමැති මහින්ද හමු වෙයි....!
https://t.co/QWifXPL6LX https://t.co/m7a2zPt2zx",7/12/2021 16:55,Politics
,,,,
28,1.41E+18,@Bandula07160007 @RKahandagama ඔබ දේශපාලන වහලෙක් නොවන්න යහපාලන සමයේ ඔබ පලකරපු ලිපියක් දෙකක් දමන්න බලන්න...,7/12/2021 15:38,Other
,,,,
29,1.41E+18,@Sheha_Era Mr shehan  නොදන්න කම නෙවෙයි  කම්මැලි කම...දේශපාලනය..මහන්තත්වය ලංකාවෙ රජ කරන්නෙ....කෝල් එක දුන්නා ගෙනාව,7/12/2021 15:36,Other
,,,,
30,1.41E+18,මේ රටේ 73 වසරක කාලය තුළ කණ්ඩායම් දෙකක් රට පාලනය කළාට දේශපාලන සංස්කෘතියේ ලොකු වෙනසක් සිදුවෙලා නැ. ජවිපෙ මාලිමාව බලයට ගෙන ඒමේ වැදගත්ම හේතුව දේශපාලන සංස්කෘතියේ ලොකු වෙනසක් සිදුවීමයි. එය මේ මොහොතේ අත්‍යවශ්‍යයි. ජයවේවා !!!,7/12/2021 15:34,Politics
,,,,
31,1.41E+18,"👺😳""#ජවිපෙ සහ #පෙරටුගාමීන් කලබලවී තියෙන්නෙ ඔවුන්ගේ කසි- කබල් දේශපාලන අවශ්‍යතා වෙනුවෙන් විශ්වවිද්‍යාල සිසු පරපුර පාවිච්චි කිරීමට ඇති අවස්ථාව කොතලාවල විශ්වවිද්‍යාලය හරහා අවහිර වන නිසා මිස නිදහස් අධ්‍යාපනය රැක ගැනීමට නොවන බැව් නොතේරෙන අ‍යත් ඉන්නවාද...""🤔🤔",7/12/2021 15:31,Politics
,,,,
32,1.41E+18,@Bandula07160007 ඔබ කතාකරන්න එක් පක්ෂයකට සම්බන්ධ පුද්ගලයන්ට..මට පක්ෂයක් නැහැ..වැරදිනම් වදාපු අම්මත් වැරදි..,7/12/2021 15:28,Other
,,,,
33,1.41E+18,@UPGammanpila මිනිස්සුන්ට අභූත චොදනා එල්ල කරන අශිශ්ඨ දේශපාලන ය නවතා දැමිමට නම් අදිකරනයෙ පිහිට පැතිම වරද?,7/12/2021 15:28,Other
,,,,
34,1.41E+18,@DjE6sRhJXFJIrCR @Bandula07160007 @KirbyslA @blackaustralian @H_S_KandyHamu @ShayamikaM @duplicatesiri @KMeeeaaow @Cats1st_ @Udayawickramar1 @pdsiriwardana @deshanlasitha7 @uruzikal @UdanaNadun @ceylonincolor @DulithK @Wasanth53468261 @ChabieHerath @Kuwai,7/12/2021 11:50,Other
,,,,
35,1.41E+18,@DjE6sRhJXFJIrCR @Bandula07160007 @KirbyslA @blackaustralian @H_S_KandyHamu @ShayamikaM @duplicatesiri @KMeeeaaow @Cats1st_ @Udayawickramar1 @pdsiriwardana @deshanlasitha7 @uruzikal @UdanaNadun @ceylonincolor @DulithK @Wasanth53468261 @ChabieHerath @Kuwai,7/12/2021 11:38,Politics
,,,,
36,1.41E+18,"ගුරුවරුන් කියන්නේ කාගේත් හදවතේ ඉහලම ස්ථානයක ඉන්න පිරිසක්...

ඒත් වෘතීය සංගම් නායකයින් කියාගනිමින්, එක එක දේශපාලන පක්ෂ වලට කඩේ යන නොමිනිසුන් නිසා, හදවත් තුළ ඇති ඒ ගෞරවය ටිකෙන් ටික ගිලිහි යන්නට ඉඩ ඇත.කොවිඩ් වසංගතය හමුවේ ඉගෙනගැනීම අඩාල වුන දරුවන් තව තවත් කබලෙන් ලිපට ඇද දැමිය හැකිද? https://t.co/MQLY0aFjyQ",7/12/2021 7:47,Other
,,,,
37,1.41E+18,පවතින සෞඛ්‍ය නීති රීති වලට අනුකූලව ඉතාමත් සීමිත පිරිසකගේ සහභාගිත්වයෙන් ශ්‍රී ලංකා නිදහස් පක්ෂ බටපොල  අංක 1 ප්‍රාදේශීය බලමණ්ඩලයේ ප්‍රධාන දේශපාලන ක්‍රියාකාරින්ගේ හමුවක් බටපොල කපිල සේනාරත්න මහතාගේ නිවසේදී  පසුගියදා පැවැත්වූ අවස්ථා... https://t.co/dd9VKeU1qb,7/12/2021 7:08,Politics
,,,,
38,1.41E+18,තාත්තා වගේම පුතත් නීතිය නමයි..! වීරසේකරගේ ASP දොස්තර පුතා නීතී විරෝධී දේශපාලන කටයුතු වල.. ‘සරත් පවුර‘ නමින් දේශපාලන සංවිධානයක් හදලා. (ඡායාරූප) - ColomboXnews https://t.co/ERVTj173yp,7/12/2021 6:23,Other
,,,,
39,1.41E+18,"නිරෝධානය අඩස්සියේ සිටින වෘත්තීය සමිති සහ දේශපාලන ක්‍රියාධරයන් නිදහස් කරන්නැයි හෙට මෘගාණ්ඩුවට අභියෝග කරනු ඇත. 

කුල්ල කුජීත හිඟන රෙජීමය හෙට දිනයේත් මර්දනය දියත් කරන්නේ නම් එය ඔවුන්ගේ විනාශයේ අගාධය තව තව ගැඹුරු කරනු නිසැක ය.",7/12/2021 1:12,Other
,,,,
40,1.41E+18,ඉතියෝපියා මහ මැතිවරණයේ ජය අග්‍රාමාත්‍ය අබී අහමඩ්ගේ දේශපාලන පක්ෂයට https://t.co/WYeyp49lqD,7/12/2021 0:33,Politics
,,,,
41,1.41E+18,"ඔබට දේශපාලන එපා වෙලා නම්, තව දින 900 කට අඩු කාලයකදී එන මීළඟ ජනාධිපතිවරණයේ දී, වර්තමානයේ පවතින කිසිඳු දේශපාලන පක්ෂයකට හෝ පුද්ගලයකුට සම්බන්ධයක් නැති මීළඟ ජනාධිපතිවරයා තෝරා ගැනීමට සූදානම් වන්න, නැත්නම් ඔබ කැමති රටේ PR එකට සුදුසුකම් සපුරා ගැනීමට මහන්සි ගන්න ✌️",7/11/2021 17:56,Politics
,,,,
42,1.41E+18,මගෙ දේශපාලන දැක්ම හින්දා මාත් එක්ක හිත් අමනාපකම් ඇතිකරගත්ත යාලුවොත් ඉන්නවා.,7/11/2021 15:34,Other
,,,,
43,1.41E+18,@voiceofaparekka ටියුෂන් වලට දැන් දේශපාලන අනුග්‍රහය ලැබිල ඉවරයි මමත් එදා ඉදන් ඔය ගැන කතා කරනවා අපේ දරැවො මම,7/11/2021 14:10,Other
,,,,
44,1.41E+18,"පහත ජායාරූප වල සටහන් වැඩේ සම්පූර්ණයෙන් ආණ්ඩුවේ මඩ බළකායේ තුප්පැහි අශිෂ්ඨ වැඩකි,නිදහස් අධ්‍යාපනය වෙනුවෙන් හඬ නඟන උන්ගේ දේශපාලන කඳවුර දේශපාලන මතට හොයන්නට නොයා උන් පෙන්වන කාරනා දෙස බලනවා වෙනුවට උන්ව දේශද්‍රෝහින් කරන්න මේ වගේ ප්‍රාථමික බංකොලොත් වැඩ කරන්නෙත් ආණ්ඩුව https://t.co/p17LPncmDk",7/11/2021 13:56,Other
,,,,
45,1.41E+18,"@HemalDevinda @SuuTikka මා ඉපදුණු භූමිය විවේචනය නොකරමි, කිසි විටෙකත් මෙම භූමිය පාලනය කරන දේශපාලන politicians යින් විවේ?",7/11/2021 13:44,Other
,,,,
46,1.41E+18,"ලොකයේ මෙවන් විපතක් සිදුවී තිබෙත්දී උද්ඝෝෂණ වර්ජන කරන එකම රට ලංකාවයි, ඒ ඇයි මුන්ගේ තිබෙන කුහකකමයි, ඒ රට වැට්ටවීමයි කොරෝනා තව තවත් බෝකිරීමයි, එම නීච දේශපාලන කුහකත්වයි දැන් සජබ සහ ජේවිපෙ කාරයෝ නරන්නේ, ලැජ්ජයි, මුන් වගේ පාදඩයන් නිසා තමයි ලංකාව තාමත් මෙතන,",7/11/2021 13:30,Other
,,,,
47,1.41E+18,"@ItsYakin ඔබේ ද අපේ ද දේශපාලන කියැවීම, අවබෝධය  වර්ධනය කර ගෙන , නිවැරදිව ඉලක්ක ගත කර ගැනීම  සඳහා එක්වන්න.

හ",7/11/2021 11:53,Other
,,,,
48,1.41E+18,@DPMJayawardhan1 @deshanlasitha7 @nnalani1231 @Cats1st_ @Bandula07160007 @DeSenaka @KirbyslA @ranjanieguruge @JagathAMARASIN1 @judecroos2007 @pdsiriwardana @Udayawickramar1 @surenmadineshs @samithaWickram3 @oshanda77 @sidathsaumya @C27717840 @nazrulrazack,7/11/2021 9:39,Other
,,,,
49,1.41E+18,"ඉතියෝපියා මහ මැතිවරණයේ ජය අග්‍රාමාත්‍ය අබී අහමඩ්ගේ දේශපාලන පක්ෂයට 
#Election 

https://t.co/U9Ebxrf132",7/11/2021 9:27,Politics
,,,,
50,1.41E+18,"@IshankaJayasin1 ඇයටද ඇය විශ්වාස කරන දේශපාලනක් ඇත..
එය ඔබ විශ්වාස කරන දේශපාලනය විය යුතුයැයි ඔබ සිතනවානම්... ඔ?",7/11/2021 8:44,Other
,,,,
51,1.41E+18,"'....මහජන ජන්දයෙන් පත්වන, රටෙහි සමාජ, දේශපාලන, ආර්ථික ප්‍රශ්ණ සාකච්ඡා කැරෙන සහ විසදුම් සකස් කැරෙන පාර්ලිමේන්තුව අද ගාම්බීර ගොඩනැඟිල්ලක් පමණි. සියලු දේ තනි මිනිසාගේ පවුල් පාලනයට යටත්ය.' - විදෙස්ගත ශ්‍රී ලාකික එකතුව, https://t.co/w4hMtt90Ae #srilanka #lka Cartoon by @RcSullan https://t.co/G150hQKWUr",7/11/2021 8:31,Other
,,,,
52,1.41E+18,@newsi_lk: දේශපාලන පක්ෂයක සාමාජිකයෙක් අභිරහස් ලෙස මරුට – ඝාතනයක් දැයි සැකයක් (Photo) https://t.co/VHyAZItx6J,7/11/2021 7:08,Crime
,,,,
