ID,User,CREATED_AT,LABEL,stemming_words
58,1.42E+18,7/14/2021 10:42,Other,දේශපාලන සිරකරු නිදහස් කිරීම ඉල්ලීම කිහිපයක් මුල් කරගනිමින් සති අන්තයේ යාපනයේදී පැවැත්වු විරෝධතාවයකටත් පොලිස් බාධා
60,1.42E+18,7/14/2021 10:35,Other,සුනන්ද දේශප්රියගේ පරම්පරාවේ ගොඩක් අය පිටරට ගිහින් අපේ රට කයිවාරැ ගහන්නේ රටේ ඉන්නකම් දේශපාලන වහල්කම් කරලා දේශපාලන ගැටුම් හදාගෙන පුද්ගලික අැරියස් බවවත් අඩුගානේ මිනිස්සු දන්නවනම්
62,1.42E+18,7/14/2021 9:59,Other,අනික පැති වලත් ඔහොම තමයි ඉවසල ඉන්න ඕනි දේශපාලන හයියක් හරි නිලධාරී හයියක් හරි නැතිනම්
64,1.42E+18,7/14/2021 9:35,Other,ලංකාවේ ඉන්න තමයි ආස මොකද දේශපාලන රිලා නැටුම් ටික බලල අනාගතයේ හාමතේ මැරිල යන්න
66,1.42E+18,7/14/2021 9:10,Other,අහ් පාරම්පරික දේශපාලන පවුලක අර මං කිව්ව එක වෙන්නත් බෑ එහෙනම්
68,1.42E+18,7/14/2021 8:55,Other,අර තාත්තගේ වයසටත් දේශපාලන අත්දැකීම් බහුල පුතෙක් ඉන්න පවුල නේද
70,1.42E+18,7/14/2021 8:47,Other,පාරම්පරික දේශපාලන පවුලක මතක්වෙනවා ඔහොම අවස්ථාවකි බාල වයස්කාර කෙල්ලක් ගේට ගත්ත
72,1.42E+18,7/14/2021 7:44,Other,ලංකාවේ ඉදන් ගොඩ යන්න බැරිනම් රටකදි කොහොමවත් බෑ ලංකාවේ එකම ප්රශ්නය දේශපාලනය දේ
74,1.42E+18,7/14/2021 6:27,Other,පැටිකිරිය ඛල්ලෙක් ගන්න ගිය පැටිකිරිය බලන රටක නායකයෙක් තෝරන්නත් පැටිකිරිය ටික හොයල බලමුද උස සිංහලයා පෙනී සිටිමින් රට ජාතිය සළුපිළි වලින් විලි වසා ගනිමින් පාච රණවකගේ දේශපාලන මග
76,1.42E+18,7/14/2021 5:20,Other,දවස් මන්ත්රී වරු දෙන ගෙන සොයා බලමු තුළින් ඔබත් අදහස් කියන්න මන්ත්රී තුමා අධ්යාපන සුදුසුකම් පසු විපරම් සියලුදේ කියන්න හෝරා චණ්ඩියක් නෝන්ඩික් දේශපාලන ආරම්භය වත් හැමදෙයක්ම ලියන්න අද අපි පටන්ගන්නේ සංජීව එදිරිමාන්න
78,1.42E+18,7/14/2021 4:53,Other,දවස් මන්ත්රී වරු දෙන ගෙන සොයා බලමු තුළින් ඔබත් අදහස් කියන්න මන්ත්රී තුමා අධ්යාපන සුදුසුකම් පසු විපරම් සියලුදේ කියන්න හෝරා චණ්ඩියක් නෝන්ඩික් දේශපාලන ආරම්භය වත් හැමදෙයක්ම ලියන්න අද අපි පටන්ගන්නේ සංජීව එදිරිමාන්න
80,1.42E+18,7/14/2021 2:03,Other,ගිණිගත් නැවේ දත්ත මැකෙයි තරම් කුමන්ත්රණ වෙනකොට ඒවා රටේ මිනිස්සු හෝ මාද්ය විස්වාස කරන්න තරම් හරකුන්ද දේශපාලකයෝ ජනතාව හරකුන් යයි සිතා සිටීමේ ප්රතිපල තමයි අවසාන පක්ෂ දේශපාලන පරාජය
82,1.42E+18,7/14/2021 1:02,Other,ලංකාවේ බහුතර දේශපාලන හාමුදුරුවෝ අවංකද සීල්වත්ද සමහර දේශපාලන හාමුදුරුවෝ බණ කියන්න මු
84,1.42E+18,7/14/2021 1:02,Other,ලංකාවේ බහුතර දේශපාලන හාමුදුරුවෝ අවංකද සීල්වත්ද සමහර දේශපාලන හාමුදුරුවෝ බණ කියන්න මුදල් අය කරනවා නේද ඔය සීල් රෙදි පොරවාගෙන කතා කරන අය බහුතර කරන්න තියෙන පව් ඔක්කොම කරන තිරිසන් විය නොහැකිද පක්ෂවහලුන් තමන්ගේ අය ශුද්ධ කරනවා නේද ගිනි නොමැතිව දුම් තිබේද
86,1.41E+18,7/13/2021 16:36,Other,මම් ඔය සීන් එක දන්නේ නැ මොනවා උනත් මුරලි කියන්නෙ දේශපාලන වහලෙක් එයා සංගා මහේල වග
88,1.41E+18,7/13/2021 15:34,Politics,පුරවැසි දේශපාලන අයිතිය යුතුකම් විවෘත සංවාදය මහින්ද දේශප්රිය හිටපු කොමසාරිස් සභාපති මැතිවරණ කොමිසමේ
90,1.41E+18,7/13/2021 13:06,Politics,සියලුම රාජ්ය සේවකයන්ට එරෙහි දේශපාලන පළිගැනීමට තිත තියන් අගමැති පෙරමුණ ගනියි
92,1.41E+18,7/13/2021 12:50,Politics,ශ්රී ලංකා බොරතෙල් ගෑස් නිෂ්පාදනය කරන රටක් පත් කරන්නට ඔබතුමා ගෙන යනු ලබන අසමසම උත්ස
94,1.41E+18,7/13/2021 12:36,Politics,ශ්රී ලංකා බොරතෙල් ගෑස් නිෂ්පාදනය කරන රටක් පත් කරන්නට ඔබතුමා ගෙන යනු ලබන අසමසම උත්ස
96,1.41E+18,7/13/2021 11:53,Politics,දේශපාලන පළිගැනීම් ලක්වූ රාජ්ය අර්ධ රාජ්ය සේවකයන්ට සහන සැලසී නීති කෙටුම්පත් කරන්
98,1.41E+18,7/13/2021 4:40,Other,ඕකම තියනවා ලක්ෂ වැඩී දේශපාලන විරුවෝ රට කරවපු වෙනස
100,1.41E+18,7/13/2021 1:25,Other,පිටට පේන දෙයට ඇතුලතින් සිදුව දේශපාලන විපර්යාස ජනතාව අවදි ජය වේවා ඇමතිතු
102,1.41E+18,7/12/2021 20:30,Other,පොලීසියේ රාජකාරි කොරන ගමන් දේශපාලන වැඩ කොරන්ට පුලිවන්ද මෙයාලා ජයගම
104,1.41E+18,7/12/2021 19:28,Other,මම හිතන්නේ වැරදීම වෙලා තියෙනවා කොටස අයගේ තියෙන එකේ ඉන්දුනීසියාව කියපු
106,1.41E+18,7/12/2021 17:47,Politics,රතු ඉර කෙලි සාකච්ඡාව මෙහිදී ඔබ පැවසූ සමාජ ආර්ථික දේශපාලන පරිවර්තන පිළිබදව කරුණු වි
108,1.41E+18,7/12/2021 17:34,Other,ජවිපෙ ජාතිවාදය බැහැර කළ ජාතිවාදය කැළණිය නයි මතුවී දියසෙන් කුමරු ආගමන ස
110,1.41E+18,7/12/2021 16:55,Politics,දුමින්ද සිල්වා නැවත දේශපාලන පිටියට අරලිය මැදුර ගොස් අගමැති මහින්ද හමු වෙයි
112,1.41E+18,7/12/2021 15:38,Other,ඔබ දේශපාලන වහලෙක් නොවන්න යහපාලන සමයේ ඔබ පලකරපු ලිපි දෙකක් දමන්න බලන්න
114,1.41E+18,7/12/2021 15:36,Other,නොදන්න කම නෙවෙයි කම්මැලි කම දේශපාලනය මහන්තත්වය ලංකා රජ කරන්නෙ කෝල් එක දුන්නා ගෙනාව
116,1.41E+18,7/12/2021 15:34,Politics,රටේ වසරක කාලය කණ්ඩායම් දෙකක් රට පාලනය කළාට දේශපාලන සංස්කෘතියේ ලොකු වෙනසක සිදුවෙලා නැ ජවිපෙ මාලිමාව බලය ගෙන ඒමේ වැදගත්ම හේතුව දේශපාලන සංස්කෘතියේ ලොකු වෙනසක සිදුවීමයි එය මොහොතේ අත්යවශ්යයි ජයවේවා
118,1.41E+18,7/12/2021 15:31,Politics,ජවිපෙ පෙරටුගාමී කලබලවී තියෙන්න ඔවුන්ගේ කසි කබල් දේශපාලන අවශ්යතා විශ්වවිද්යාල සිසු පරපුර පාවිච්චි කිරීමට අවස්ථාව කොතලාවල විශ්වවිද්යාල හරහා අවහිර නිදහස් අධ්යාපනය රැක ගැනීමට නොවන බැව නොතේරෙන අයත් ඉන්නවාද
120,1.41E+18,7/12/2021 15:28,Other,ඔබ කතාකරන්න එක් පක්ෂයක සම්බන්ධ පුද්ගලයන් මට පක්ෂයක් නැහැ වැරදිනම් වදාපු අම්මත් වැරදි
122,1.41E+18,7/12/2021 15:28,Other,මිනිස්සුන් අභූත චොදනා එල්ල කරන අශිශ්ඨ දේශපාලන නවතා දැමිම අදිකරනයෙ පිහිට පැතිම වරද
128,1.41E+18,7/12/2021 7:47,Other,ගුරුවරු කියන්නේ කාගේ හදවතේ ඉහලම ස්ථානයක ඉන්න පිරිසක් ඒත් වෘතීය සංගම් නායකයින් කියාගනිමින් එක එක දේශපාලන පක්ෂ වලට කඩේ නොමිනිසුන් හදවත් ගෞරවය ටිකෙන් ටික ගිලිහි යන්න ඉඩ ඇතකොවිඩ් වසංගත හමුවේ ඉගෙනගැනීම අඩාල වුන දරුවන් කබලෙන් ලිප ඇද දැමිය හැකිද
130,1.41E+18,7/12/2021 7:08,Politics,පවතින සෞඛ්ය නීති රීති වලට අනුකූලව ඉතාම සීමිත පිරිසක සහභාගිත්ව ශ්රී ලංකා නිදහස් පක්ෂ බටපොල අංක ප්රාදේශීය බලමණ්ඩල ප්රධාන දේශපාලන ක්රියාකාරින් හමුවක් බටපොල කපිල සේනාරත්න මහතාගේ නිවසේදී පසුගියදා පැවැත්වූ අවස්ථා
132,1.41E+18,7/12/2021 6:23,Other,තාත්තා වගේම පුතත් නීතිය නමයි වීරසේකර දොස්තර පුතා නීතී විරෝධී දේශපාලන කටයුතු වල සරත් පවුර නමි දේශපාලන සංවිධානයක් හදල ඡායාරූප
134,1.41E+18,7/12/2021 1:12,Other,නිරෝධානය අඩස්සියේ සිටින වෘත්තීය සමිති දේශපාලන ක්රියාධරයන් නිදහස් කරන්නැයි හෙට මෘගාණ්ඩුවට අභියෝග කරනු ඇත කුල්ල කුජීත හිඟන රෙජීමය හෙට දිනයේ මර්දනය දියත් කරන්නේ එය ඔවුන්ගේ විනාශයේ අගාධය ගැඹුර කරනු නිසැක
136,1.41E+18,7/12/2021 0:33,Politics,ඉතියෝපියා මැතිවරණයේ ජය අග්රාමාත් අබී අහමඩ්ගේ දේශපාලන පක්ෂයට
138,1.41E+18,7/11/2021 17:56,Politics,ඔබට දේශපාලන එපා වෙලා දින කට අඩු කාලයකදී එන මීළඟ ජනාධිපතිවරණ වර්තමානයේ පවතින කිසිඳු දේශපාලන පක්ෂයක හෝ පුද්ගලය සම්බන්ධ නැති මීළඟ ජනාධිපතිවරයා තෝරා ගැනීමට සූදානම් වන්න නැත්නම් ඔබ කැමති රටේ එකට සුදුසුකම් සපුරා ගැනීමට මහන්සි ගන්න
140,1.41E+18,7/11/2021 15:34,Other,මගෙ දේශපාලන දැක්ම හින්දා මාත් එක්ක හිත් අමනාපකම් ඇතිකරගත්ත යාලුවොත් ඉන්න
142,1.41E+18,7/11/2021 14:10,Other,ටියුෂන් වලට දේශපාලන අනුග්රහය ලැබිල ඉවරයි මමත් එදා ඉදන් ඔය කතා කරනවා අපේ දරැවො මම
144,1.41E+18,7/11/2021 13:56,Other,පහත ජායාරූප වල සටහන් වැඩේ සම්පූර්ණයෙන් ආණ්ඩුවේ මඩ බළකා තුප්පැහි අශිෂ්ඨ වැඩකි නිදහස් අධ්යාපනය හඬ නඟන උන් දේශපාලන කඳවුර දේශපාලන මතට හොයන්න නොයා උන් පෙන්වන කාරනා දෙස බලනවා උන්ව දේශද්රෝහි කරන්න වගේ ප්රාථමික බංකොලොත් වැඩ කරන්නෙ ආණ්ඩුව
146,1.41E+18,7/11/2021 13:44,Other,මා ඉපදුණ භූමිය විවේචන නොකරමි කිසි විටෙක භූමිය පාලනය කරන දේශපාලන යින් විවේ
148,1.41E+18,7/11/2021 13:30,Other,ලොකයේ මෙවන් විපතක් සිදුවී තිබෙත්දී උද්ඝෝෂණ වර්ජන කරන එකම රට ලංකාවයි මුන්ගේ තිබෙන කුහකකමයි රට වැට්ටවීමයි කොරෝනා බෝකිරීමයි නීච දේශපාලන කුහකත්වයි සජබ ජේවිපෙ කාරයෝ නරන්නේ ලැජ්ජයි මුන් වගේ පාදඩයන් තමයි ලංකා තාම මෙතන
150,1.41E+18,7/11/2021 11:53,Other,ඔබේ අපේ දේශපාලන කියැවීම අවබෝධය වර්ධන කර ගෙන නිවැරදිව ඉලක්ක ගත කර ගැනීම එක්වන්න හ
154,1.41E+18,7/11/2021 9:27,Politics,ඉතියෝපියා මැතිවරණයේ ජය අග්රාමාත් අබී අහමඩ්ගේ දේශපාලන පක්ෂයට
156,1.41E+18,7/11/2021 8:44,Other,ඇයට ඇය විශ්වාස කරන දේශපාලනක් ඇත එය ඔබ විශ්වාස කරන දේශපාලනය විය යුතුයැයි ඔබ සිතනවානම් ඔ
158,1.41E+18,7/11/2021 8:31,Other,මහජන ජන්දය පත්ව රටෙහි සමාජ දේශපාලන ආර්ථික ප්රශ්ණ සාකච්ඡා කැරෙන විසදුම සකස් කැරෙන පාර්ලිමේන්තුව අද ගාම්බීර ගොඩනැඟිල්ලක පමණි සියලු දේ තනි මිනිසා පවුල් පාලනයට යටත්ය විදෙස්ගත ශ්රී ලාකික එකතුව
160,1.41E+18,7/11/2021 7:08,Crime,දේශපාලන පක්ෂයක සාමාජිකයෙක් අභිරහස් මරුට ඝාතනයක් දැයි සැකය
162,1.41E+18,7/11/2021 7:05,Other,කාටවත් බයියා කියලා කියන්නේ මොකට බයි ටොයි ජෙප්පෝ හැමෝම දේශපාලන වහල්ලුමොකද
164,1.41E+18,7/11/2021 4:54,Politics,ඉතියෝපියා මැතිවරණයෙන් අගමැති අබී අහමඩ්ගේ දේශපාලන පක්ෂයට ජය
166,1.41E+18,7/11/2021 4:09,Other,දැන්ම කරලා දන්න මේකට දේශපාලන පක්ෂ වලට කඩේ උන් එකක් කරන්න හදනවඑපා වෙලා තියෙන්නේ මට අහු
168,1.41E+18,7/11/2021 1:14,Other,අවුරුදු හැත්තෑ තුනක දේශපාලන රැවැටීලිකාර බොරුව ජනතාවගේ මොලය විදහාපාන කැටය පින්තුරයක්ද
170,1.41E+18,7/10/2021 17:37,Other,දේශපාලන උසිගැන්විම් නීති විරෝධී අත් අඩංගුව ගැනීම් ගොනුකර මූලික අයිතිවාසිකම පෙත්සම් වලට ඡායාරූප සාක්ෂි යොදාගත හැකිය
172,1.41E+18,7/10/2021 17:17,Other,පාර්ලිමේන්තුවට යවන්න හොඳ නාකි සෙට් එකක් දේශපාලනය කරන්න හොද ඔය වයසක අම්මටඔය ඇ
174,1.41E+18,7/10/2021 16:19,Other,ප්රජාතන්ත්රවදයේ බලය මානව නිදහස මිලිටරිය හොඳ දේශපාලන බැතිමත් වහල් මානසිකයොන්ට අව
176,1.41E+18,7/10/2021 15:20,Other,මම කියන්නේ ඇන්ටි කරෙත් දේශපාලනය අක්කා කරන්නෙ දේශපාලනය අක්ක ඇන්ටිගේ දේ
178,1.41E+18,7/10/2021 14:20,Other,වඳුරු ලොජික් එක තමයි නංගි මාත් හොයන්නෙ තමන් කැමති දේශපාලන පක්ෂයට කඩේ ගියා
180,1.41E+18,7/10/2021 13:25,Other,හුදු දේශපාලන වාසිය තමයි හැම ආණ්ඩුවක් ක්රියා කරන්නේ ව්යාපාරික සගයන් පින
182,1.41E+18,7/10/2021 13:05,Politics,වර්ෂයේදී රජයේ ආදායම රු බිලියන විය රජය බලය පත් වූ විගස හුදු දේශපාලන වාස
184,1.41E+18,7/10/2021 11:29,Politics,ආන්ඩුව ප්රහාර පරාජය කිරීමේ ශක්යතාවය කම්කරු පන්තියේ ස්වාධීන දේශපාලන වැඩපිලිවෙලක වටා ශිෂ්යයන් තරුනයන් බලමුලු ගැන්වී එරෙහි වැට බැඳී පෙසප ගොඩනගන පෙරමුනේ එල්ලයයි
186,1.41E+18,7/10/2021 9:51,Other,කියන්නේ දේශපාලන මතය බලලද රාජපක්ෂ පාණ්ඩු රටේ නීතිය ක්රියාත්මක කරන්නෙ
188,1.41E+18,7/10/2021 8:16,Politics,වර්ෂයේදී රජයේ ආදායම රු බිලියන විය රජය බලය පත් වූ විගස හුදු දේශපාලන වාසිය සඳ
190,1.41E+18,7/10/2021 7:04,Politics,වසරේදී දේශපාලන රැස්වීමක් අමතන සිරිමා බණ්ඩාරනායක මැතිණිය ඇය තෙවරක් ශ්රී ලංකාවේ අගමැතිධූරය දැරීය කාල වකවානු අතරය
192,1.41E+18,7/10/2021 6:08,Other,ශාසනය ගිය කලක් දේශපාලන ගැවුන තැනක් මගා විනාශයක
194,1.41E+18,7/10/2021 1:49,Politics,කලගුණ අමතක නොකරන නිහතමානී දේශපාලන චරිතය ඔබතුමා
196,1.41E+18,7/9/2021 18:10,Other,සඳුදා පාසල් ගුරුවරු ඔන්ලයින් ඉගැන්වීම අත්හිටුවයි ස්ටාලින් දේශපාලන ශිෂ්ය ක්රියාකාරිකයින් රට පුරා උද්ඝෝෂණ
198,1.41E+18,7/9/2021 16:25,Other,ත්රස්තවාද මුස්ලිම් සංවිධාන ඔය සියලු වලින් එන්නේ දේශපාලන බලය පැහැර ගැනීමේ කුමන්ත්රනයි මීට උදාහරණ ඕනෙ හයිටිය යනු තනිකර දේශපාලන බලය මිනි මරාගන්න කුහක නායකයින් පිරි රටකුයි වගේ කුහකයින්ට මොකට එකේ සහයෝග ලබා දෙන්නේ
200,1.41E+18,7/9/2021 14:17,Other,ලොකුම හේනේ තමයි දේශපාලන පක්ෂ වලට කඩේ චීවරදාරීන් බුද්ධ දර්මය විනාශකරන්නේ කවද හරි ඔය සෙ
202,1.41E+18,7/9/2021 13:24,Other,වෙනසක කරන්න අවකාශ නැත්තෙ එසේ කිරීමේ සක්යතාවය රටේ දේශපාලන අධිකාරිය ආයතන පද්ධති
204,1.41E+18,7/9/2021 13:03,Entertainment,දවස කාලීන දේශපාලන වැඩසටහන
206,1.41E+18,7/9/2021 11:53,Other,සඳුදා පාසල් ගුරුවරු ඔන්ලයින් ඉගැන්වීම අත්හිටුවයි ස්ටාලින් දේශපාලන ශිෂ්ය ක්රියාකාරිකයින් රට පුරා උද්ඝෝෂණ
208,1.41E+18,7/9/2021 11:50,Other,කැමැති දේශපාලන පක්ශෙට බනිනකොට රිදෙන වගේද බනින එකාට ගහන්න හිතෙන තමන්ගේ පක්ශේ කියන දේ විතර හරී වගේ හිතෙනවද උබත් වහලෙක්
210,1.41E+18,7/9/2021 11:32,Politics,අග භාගයේදී ගෝඨාභය රාජපක්ෂ ජනාධිපතිට රට භාර දෙන අවස්ථාවේ එනම වර්ෂයේදී රජයේ ආදායම රුපියල් බිලියන විය රජය බලය පත් වූ විගස හුදු දේශපාලන වාසිය සඳහාත් ඔවුන්ගේ ව්යාපාරික සගයන් පිනවීම සඳහාත් රුපියල් බිලියන එනම සමස්ත ආදායමෙන් තුනෙන් එකක් බදු සහන
212,1.41E+18,7/9/2021 7:30,Politics,නිරෝධායන නීති උල්ලංඝනය කිරීම හේතුවෙ ජෝශල් ස්ටාලින් සමන්ත විද්යාරත්න නාමල් කරුණාරත්න දේශපාලන ක්රියාකාරිකයින් පිරිසක් අත් අඩංගුව ගැනෙයි
214,1.41E+18,7/9/2021 7:09,Politics,මම කෑම වේලකට හතුරෙකුට ආරාධනා කරන්නෙ හතුරෙක් ආරාධනා කරොත් යන්නෙ හැබැයි ඉතිං පුංචි අපේ පෞද්ගලික ජීවිත වගේ නෙවෙයි දේශපාලන ජීවිත වල සදාකාලික හතුරොත් මිතුරොත් ඕවා හොඳ දන්නෙ රනිල් වික්රමසිංහ ලා මහින්ද රාජපක්ෂ ලා තමයි
216,1.41E+18,7/9/2021 7:08,Other,ලංකාවේ පාර්ලිමේන්තුව පලාත සභා ප්රදේශීය සභා ගත්තොත් ඔය ඔක්කොම නියෝජන කරන්නේ පවුල් පවුල් වලින් දේශපාලන උරුම වෙච්ච උන්ම තමාසුද්ද කරන්න කරන්න ඕන පාර්ලිමේන්තුවේ ඉදන් නෙමේ ප්රාදේශීය සභා ඉදන් මිනිස්සුන් සුද්දයක් දාන් වෙනවා
218,1.41E+18,7/9/2021 6:54,Other,මර්දනය හුදෙක් කොවිඩ් වසංගත වූවක් නොවේ රාජපක්ෂ පාලනය ආරම්භයේ සිටම කර ගෙන එනු ලබන ප්රජාතන්ත්ර විරෝධී අත්තනෝමතික දේශපාලන සැලැස්මේ එක් පියවරක් පමණි
220,1.41E+18,7/9/2021 6:08,Other,ඔක්කොම ආයතන වල බලය එක මණ්ඩල දුන්නොත් කොහොමට තියෙයි මණ්ඩලයේ දෙනා ගෙන් දෙනෙක් හමුද නිලධාරීන දෙදෙනෙක් ආරක්ෂක ඇමතිගේ ලේකම්ලා ඉතුරු තුන් දෙනාත් අඩු දේශපාලන පත්වීම් තාම ඉවර තියෙනවා
222,1.41E+18,7/9/2021 5:13,Politics,දේශපාලන අතකොලුඑයාලවත් දන්නැ එයාලව මෙහෙයවන්නෙ කවුද කියල
224,1.41E+18,7/9/2021 5:06,Politics,මේකෙ ගොඩක් ඉන්නෙ දේශපාලන උම්මන්තකයො ඔහේ පාඩම් කරන් ඇවිත කියවනව
