,ID,FULL TEXT,CREATED AT,LIKE COUNT,FOLLOWERS COUNT,RETWEET COUNT,POLITICS,CRIME,ENTERTAINMENT,SPORT,OTHER
40,1.43478E+18,"02.එදා ඒ නීති පැන වුණේ ඒ නිසයි.

ඒ අයට අපේ මිනිසුන්ගේ ශරීර ශක්තිය අභියෝගයක් වුණා. ඒ වගේම ඒ අයගේ සිගරැට් එක ප්‍රචාරය කරන්න දැඩි අවශ්‍යතාවක් තිබුණා.

අපේ රටේ ඉතිහාසයේ සිට පැවැති අංගම්පොර වැනි ක්‍රීඩා සහ නොයෙක් සටන්ක්‍රමවලින් සුදු ජාතිකයන් පරාද කිරීමට හේතුව....(1/3)⬇️",9/6/2021 7:34,1,319,0,0,0,0,1,1
,,,,,,,,,,,
41,1.43478E+18,"හෙට පැවැත්වෙන අවසන් එක්දින තරගය සදහා භානුක රාජපක්ශ ක්‍රීඩා කිරීම අවිනිශ්චිත තත්වයක.
#SLvSA",9/6/2021 7:31,2,214,0,0,0,1,1,0
,,,,,,,,,,,
42,1.4344E+18,2026 වන විට ටෙස්ට් ක්‍රීඩා කරන කණ්ඩායම් 5ක් පමණක් සිටිය හැකි බව හැඟේ - කෙවින් පීටර්සන් https://t.co/UCj0Vf97vX via @batsmanlive,9/5/2021 6:34,0,786,0,1,1,0,0,0
,,,,,,,,,,,
43,1.43439E+18,"""හොඳට ක්‍රීඩා කරන්න ක්‍රීඩා කරන්න අපි ගැන අවධානය යොමු වෙන නිසා, තව තව මහන්සි වෙන්න ඕනේ."" - Charith Asalanka #SLvSA 

https://t.co/NWSpYDyi1r",9/5/2021 5:56,17,22524,1,0,0,0,1,0
,,,,,,,,,,,
44,1.43438E+18,"ඊට පස්සේ රෝදපුටුවට සමුදුන් රැල්ෆ් තමන්ගේ බිරිඳ වුන ජීන්ගේ උදව්ද ඇතුව ඇවිදීමටත්,ගෝල්ෆ් මෙන්ම බාස්කට් බෝල් ක්‍රීඩා කිරීමටත් පුහුණු වුනා.ඒ වගේම රැල්ෆ් විශ්වවිද්‍යාල උපාධියක්ද ලබාගත්තා.",9/5/2021 4:51,2,316,0,1,0,0,1,1
,,,,,,,,,,,
45,1.43428E+18,"දිනේෂ්ට කෝටි 5යි, සමිතට කෝටි 2යි

ක්‍රිකට් ක්‍රීඩා කිරීමෙන් පමණක් ශ්‍රී ලංකාවේ සාර්ථකත්වයට පත් විය හැකි බවට ඇති මතය බිඳ හෙලීමට ක්‍රීඩා අමාත්‍යංශය ගෙන ඇති පියවර ප්‍රශංසනීයයි.",9/4/2021 22:19,2,509,0,0,0,1,0,0
,,,,,,,,,,,
46,1.43418E+18,"හම්බන්තොට දිස්ත්‍රික්කයේ වයස අවුරුදු 20ත් 30ත් අතර තරුණ ප්‍රජාව වෙත එන්නත්කරණය සිදු කිරීම 02 දින ආරම්භ වූ බව තරුණ හා ක්‍රීඩා අමාත්‍ය නාමල් රාජපක්ෂ මහතා පැවසීය.

අතිගරු ජනාධිපතිතුමාගේ හා අග්‍රාමාත්‍යතුමන්ගේ උපදෙස් පරිදි සෞඛ්‍ය අමාත්‍යතුමාගේ මගපෙන්වීම

https://t.co/8nk069Wzqr https://t.co/eTfY7xhDBm",9/4/2021 15:48,0,116,0,0,1,0,1,1
,,,,,,,,,,,
47,1.43408E+18,@nipuna__d Latest : ක්‍රීඩා පිටියේ ආවරණ යළිත් ඉවත් කෙ‍රෙයි. 🙂,9/4/2021 9:02,2,652,0,1,1,0,0,1
,,,,,,,,,,,
48,1.43406E+18,"@ranjanieguruge ඒක ඇත්ත. ක්‍රීඩාවට ප්‍රධාන වෙන්නෙ භාෂා දැනුම නෙමෙයි, ක්‍රීඩා කුසලතාව. ඔහු කුසලතා පරිපූර්ණ ?",9/4/2021 7:54,11,189,0,0,0,1,1,
,,,,,,,,,,,
49,1.43405E+18,"ප්‍රිය ක්‍රීඩා ලෝලි අසන්නනි මද හිරු රැස් කෙමෙන් කෙමෙන් ක්‍රීඩා පිටියට පතිත වන ආකරයක් පෙන්නුම් කරනවා රෙද්ද අස්සෙන් 🤷‍♂️

සමාවෙන්න කාමරේට ආපු කෙනා ලයිට් එක ඕෆ් කරලා ගිහිල්ල නෑ මිතුරනි 😁

#SLvSA #Cricket #rain",9/4/2021 6:53,6,578,0,1,1,1,0,
,,,,,,,,,,,
